run,seed,size,algo,impl,heuristic,dup,shuffle,max_nodes,max_bytes,status,solution_len,optimal,generated,expanded,duplicates,improved,open_max,closed,bytes_peak,hash_probes,iterations,last_iter_generated,max_depth,seconds
156,157,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,6955,2634,2935,51,1386,2635,293460,0.000,0,0,0,0.038132000
157,158,3,astar,list,manhattan,gcompare,200,0,0,ok,12,-1,164,60,60,0,44,61,7592,0.000,0,0,0,0.000028000
158,159,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,3693,1386,1533,23,774,1387,157753,0.000,0,0,0,0.008798000
159,160,3,astar,list,manhattan,gcompare,200,0,0,ok,18,-1,1138,423,466,4,249,424,49056,0.000,0,0,0,0.000835000
160,161,3,astar,list,manhattan,gcompare,200,0,0,ok,18,-1,212,79,82,2,51,80,9490,0.000,0,0,0,0.000042000
161,162,3,astar,list,manhattan,gcompare,200,0,0,ok,12,-1,51,18,17,0,16,19,2555,0.000,0,0,0,0.000006000
162,163,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,4044,1519,1722,33,803,1520,169506,0.000,0,0,0,0.010819000
163,164,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,1284,483,528,6,273,484,55261,0.000,0,0,0,0.001029000
164,165,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,3977,1490,1646,15,842,1491,170236,0.000,0,0,0,0.010409000
165,166,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1174,440,483,9,251,441,50443,0.000,0,0,0,0.000859000
166,167,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,16467,6174,7232,173,3061,6175,674155,0.000,0,0,0,0.225124000
167,168,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,2427,914,995,15,518,915,104536,0.000,0,0,0,0.003606000
168,169,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,5619,2105,2370,51,1145,2106,237250,0.000,0,0,0,0.024024000
169,170,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,1805,677,738,15,390,678,77964,0.000,0,0,0,0.001968000
170,171,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,10070,3785,4303,72,1983,3786,421064,0.000,0,0,0,0.080019000
171,172,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,1901,709,783,16,409,710,81614,0.000,0,0,0,0.002182000
172,173,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1533,569,622,9,342,570,66576,0.000,0,0,0,0.001436000
173,174,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,4640,1730,1948,24,962,1731,196516,0.000,0,0,0,0.014999000
174,175,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,7458,2791,3168,47,1499,2792,313170,0.000,0,0,0,0.043652000
175,176,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,7602,2864,3219,57,1519,2865,320032,0.000,0,0,0,0.045061000
176,177,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,1194,450,496,9,248,451,50954,0.000,0,0,0,0.000934000
177,178,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,14434,5425,6187,70,2822,5426,602104,0.000,0,0,0,0.173535000
178,179,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1154,434,468,5,254,435,50078,0.000,0,0,0,0.000851000
179,180,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,2995,1119,1235,16,641,1120,128553,0.000,0,0,0,0.005457000
180,181,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,2123,804,873,11,446,805,91323,0.000,0,0,0,0.002712000
181,182,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,1961,736,799,6,426,737,84826,0.000,0,0,0,0.002353000
182,183,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,16837,6318,7273,122,3248,6319,698172,0.000,0,0,0,0.240961000
183,184,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,1847,692,770,15,386,693,78621,0.000,0,0,0,0.002052000
184,185,3,astar,list,manhattan,gcompare,200,0,0,ok,14,-1,208,78,80,0,50,79,9344,0.000,0,0,0,0.000040000
185,186,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,1941,728,788,8,425,729,84169,0.000,0,0,0,0.002278000
186,187,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,1983,747,816,20,420,748,85264,0.000,0,0,0,0.002353000
187,188,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,8250,3094,3506,55,1650,3095,346385,0.000,0,0,0,0.051923000
188,189,3,astar,list,manhattan,gcompare,200,0,0,ok,28,-1,14672,5534,6391,134,2747,5535,604586,0.000,0,0,0,0.171395000
189,190,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,12180,4563,5214,117,2403,4564,508591,0.000,0,0,0,0.166395000
190,191,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,2425,912,1020,22,493,913,102565,0.000,0,0,0,0.003433000
191,192,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,5882,2203,2473,58,1206,2204,248857,0.000,0,0,0,0.025784000
192,193,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,6287,2351,2697,64,1239,2352,262143,0.000,0,0,0,0.027925000
193,194,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,2327,867,956,6,504,868,100083,0.000,0,0,0,0.003210000
